id,cm_feeling,cm_fun,cm_pleasant,cm_high
1001,3,2,3,3
1001,3,2,2,2
1001,3,3,3,2
1001,3,3,3,3
1001,3,3,3,2
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,2
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,2
1001,3,3,3,2
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1001,3,3,3,3
1002,3,3,2,3
1002,3,3,2,3
1002,0,3,2,3
1002,3,3,2,3
1002,3,2,3,3
1002,2,3,3,2
1002,3,2,2,3
1002,3,2,2,3
1002,3,3,3,3
1002,3,2,3,2
1002,3,2,3,3
1002,3,3,3,2
1002,3,2,2,3
1002,3,2,2,2
1002,3,2,3,3
1002,3,2,3,3
1002,3,3,2,2
1002,3,2,3,3
1002,3,3,3,3
1002,3,3,3,2
1002,3,2,3,2
1002,3,2,2,2
1002,3,2,2,3
1002,3,2,3,2
1002,3,3,2,2
1002,3,2,2,2
1002,3,3,3,2
1002,3,3,3,2
1002,3,2,3,2
1002,3,2,2,2
1002,3,3,3,3
1002,3,2,2,2
1002,3,2,3,2
1002,3,3,2,2
1002,3,2,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,3,2,2,2
1002,2,2,2,2
1002,3,2,3,2
1002,3,2,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,3,2,2,2
1002,3,2,2,2
1002,2,2,2,2
1002,2,3,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,2,2,2,2
1002,3,2,3,2
1002,3,2,3,2
1002,3,3,3,2
1002,3,2,2,2
1002,3,3,2,2
1002,2,2,2,2
1002,3,3,2,2
1003,1,1,2,1
1003,2,0,3,0
1003,1,0,2,2
1003,1,0,2,1
1003,3,3,2,2
1003,2,2,2,1
1003,1,1,2,1
1003,2,0,2,2
1003,2,2,2,2
1003,0,0,0,0
1003,2,0,2,2
1003,2,0,2,2
1003,0,0,2,0
1003,2,2,2,0
1003,2,2,2,2
1003,2,0,2,0
1003,0,0,2,0
1003,2,0,2,0
1003,0,0,2,0
1003,2,0,2,0
1004,3,2,3,2
1004,3,2,2,2
1004,2,2,2,2
1004,2,2,2,2
1004,2,3,2,2
1004,2,2,2,2
1004,3,2,2,2
1004,3,2,2,2
1004,2,2,2,2
