id,scornful,downhearted,alone,angry,shaky,nervous,blue,jittery,hostile,sad,loathing,afraid
1001,1,1,1,1,1,1,1,2,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1,2,1,1,1,1
1001,1,1,1,1,1,2,1,2,1,1,1,2
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,2,2,2,2,1,2,1,2
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,2,2,1,1,1,1,1,1
1001,1,1,1,1,2,2,1,2,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,2,2,1,2,1,1,1,1
1001,1,1,1,1,2,2,1,2,1,1,1,2
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1,2,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,2,1,1,2,1,1,1,1
1001,1,1,1,1,1,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1,2,1,1,1,1
1001,1,1,1,1,2,1,1,2,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,2,1,1,1,1,1
1002,3,1,1,2,1,2,1,1,2,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,2,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,2,1,1,1,1,1,1,1,1,1,1,1
1002,2,1,1,1,1,1,1,1,1,1,1,1
1002,2,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,2,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,2,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,2,1,1,1,1,2,1,1,2,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,2,1,1,1,1,1,1
1002,1,1,1,1,1,2,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,2,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,2,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,2,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,3,1,1,1,1,1,2
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,2,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,2,1,1,2,1,1,1,1,2,1,1,1
1002,1,1,1,1,1,1,1,1,1,1,1,1
1002,1,1,1,1,1,2,1,1,1,1,1,1
1002,2,1,1,1,1,1,1,1,2,1,1,1
