id,excited,active,alert,happy,enthusiastic
1001,2,2,3,3,2
1001,1,2,2,3,3
1001,1,1,1,2,2
1001,1,2,3,3,3
1001,2,2,2,4,4
1001,1,2,1,4,4
1001,2,1,1,4,4
1001,1,1,1,3,3
1001,1,1,2,2,1
1001,1,1,1,3,2
1001,2,1,1,4,4
1001,1,1,1,4,4
1001,1,2,2,3,2
1001,1,3,3,3,2
1001,1,2,2,3,3
1001,3,2,3,3,3
1001,2,2,2,3,3
1001,5,5,4,5,5
1001,1,2,2,3,3
1001,2,1,1,4,3
1001,3,3,3,4,4
1001,1,1,1,3,2
1001,2,2,2,4,4
1001,2,2,2,4,4
1002,2,3,4,3,2
1002,1,4,4,4,3
1002,1,3,4,3,1
1002,2,4,4,4,1
1002,1,3,4,4,4
1002,3,4,4,4,4
1002,2,4,4,4,3
1002,1,4,4,3,3
1002,2,4,4,4,3
1002,1,1,4,4,3
1002,3,4,4,4,3
1002,4,2,4,5,3
1002,2,4,4,3,4
1002,2,4,4,4,3
1002,3,4,4,3,2
1002,2,2,4,4,2
1002,2,4,4,4,4
1002,2,3,4,4,3
1002,2,4,4,4,2
1002,3,4,4,4,3
1002,3,5,4,4,3
1002,1,4,5,4,3
1002,1,2,2,3,3
1002,3,4,4,4,2
1002,3,3,4,4,4
1002,3,2,4,4,3
1002,1,4,4,4,3
1002,3,4,4,4,3
1002,4,3,4,4,3
1002,2,2,3,3,4
1002,2,2,4,4,3
1002,2,4,4,4,3
1002,1,3,4,4,3
1002,3,4,4,4,3
1002,3,4,4,3,3
1002,1,3,5,1,2
1002,2,4,4,3,3
1002,2,3,4,3,3
1002,2,4,4,3,2
1002,2,4,4,3,3
1002,3,4,4,4,3
1002,2,1,4,4,2
1002,2,3,4,3,3
1002,2,4,4,4,3
1002,3,4,4,4,3
1002,3,4,4,4,3
1002,3,4,4,3,3
1002,3,4,4,3,2
1002,4,4,4,4,3
1002,2,4,4,4,3
1002,2,4,4,3,2
1002,4,3,4,4,3
1002,3,4,4,4,4
1002,3,4,4,4,4
1002,4,4,4,4,3
1002,4,4,4,4,4
1002,2,2,3,3,2
1002,3,4,4,4,3
1002,3,2,4,4,3
1002,3,3,4,4,3
1002,2,1,4,3,3
1002,2,4,4,4,3
1003,1,4,4,3,2
1003,1,1,2,4,2
1003,3,3,3,3,2
1003,2,3,4,3,2
1003,3,2,4,4,3
1003,4,3,4,4,5
1003,1,1,2,4,1
1003,3,3,4,3,2
1003,3,2,4,4,3
1003,1,2,3,2,1
1003,2,1,3,2,1
1003,2,3,4,3,3
1003,1,3,4,1,1
1003,4,4,5,4,3
1003,5,2,3,4,3
1003,4,1,3,3,4
1003,5,4,4,4,4
1003,4,3,3,4,4
1003,4,4,5,4,4
1003,1,3,3,3,3
1004,2,3,3,4,3
1004,2,3,1,3,2
1004,2,3,2,3,1
1004,2,4,3,3,3
1004,1,3,3,3,4
1004,1,3,1,3,2
1004,3,4,3,3,3
1004,3,4,4,4,3
1004,4,4,4,4,3
1004,3,4,4,4,4
1004,3,4,4,4,4
1004,4,5,5,4,4
1004,3,3,3,3,3
1004,3,4,4,4,4
1004,3,3,2,4,3
1004,3,3,3,3,3
1004,3,4,4,3,3
1004,3,3,4,3,3
1004,4,4,4,3,3
1004,3,3,4,4,3
1004,3,3,2,2,3
1004,2,3,3,3,3
1004,3,5,5,4,4
1004,3,4,4,3,3
1004,2,3,2,3,2
1004,3,3,4,1,2
1004,3,2,2,3,2
1004,3,3,3,3,3
1004,3,3,2,3,2
1006,2,1,2,3,1
1006,1,1,1,3,1
1006,1,2,4,2,1
1006,1,1,2,2,1
1006,1,3,4,3,2
1006,3,2,2,3,3
1006,1,1,3,3,1
1006,1,1,2,3,1
1006,1,1,1,3,1
1006,1,1,2,3,1
1006,2,1,2,3,1
1006,1,1,2,3,1
1006,1,1,2,2,1
1006,2,1,2,3,1
1006,1,1,3,3,1
1008,2,1,2,2,1
1008,2,1,3,2,2
1008,4,1,2,3,4
1008,2,1,2,2,2
1008,1,1,1,2,1
1008,5,5,5,5,5
1008,1,2,1,1,1
1009,2,2,2,3,3
1009,2,2,1,1,2
1009,2,1,3,3,1
1009,2,2,1,1,3
1009,1,1,1,1,1
1009,1,3,1,1,4
1009,1,1,1,5,5
1009,2,1,1,3,2
1009,1,1,1,2,1
1009,2,1,1,2,2
1009,1,2,1,2,2
1009,1,1,1,1,2
1009,3,2,1,2,2
1009,3,3,1,1,2
1009,1,1,1,2,2
1010,2,1,4,2,1
1010,1,2,1,2,2
1010,4,3,1,3,2
1010,2,3,3,4,4
1010,1,2,1,1,1
1010,1,3,3,2,3
1010,1,3,2,1,1
1010,2,2,1,3,2
1010,2,2,1,2,3
1010,1,3,2,3,1
1010,3,1,1,3,2
1010,3,2,2,2,2
1010,1,4,4,2,2
1010,3,3,2,2,2
1010,3,2,3,2,1
1010,3,2,4,2,2
1010,5,3,3,4,4
1010,2,3,2,3,4
1010,3,3,3,3,4
1010,3,2,1,3,2
1011,2,2,2,4,2
1011,2,1,1,3,2
1011,1,1,1,4,1
1011,2,1,1,4,1
1011,1,1,1,1,1
1011,2,1,4,4,1
1011,1,3,3,2,1
1011,2,1,3,3,2
1011,2,2,4,4,4
1011,1,1,3,3,2
1011,4,4,4,4,4
1011,3,2,4,4,3
1011,4,3,3,3,4
1011,1,5,4,2,2
1011,3,5,5,5,4
1011,3,5,4,4,3
1011,1,2,2,2,2
1011,1,3,3,2,1
1011,2,2,2,3,2
1012,3,4,3,4,3
1012,4,3,1,3,4
1012,4,3,1,2,4
1012,4,4,2,4,3
1012,2,1,1,2,2
1012,2,1,1,2,1
1012,2,3,1,3,2
1012,2,2,1,2,1
1013,2,2,2,3,2
1013,2,3,3,3,3
1016,4,2,1,4,3
1016,4,3,1,4,4
1016,2,2,1,3,3
1016,4,1,1,3,4
1016,4,3,1,4,4
1016,4,1,1,5,4
1016,5,1,1,5,4
1016,5,4,1,5,4
1016,3,1,1,3,3
1016,4,1,1,4,4
1016,2,1,1,3,3
1017,2,2,2,2,1
1017,2,2,2,2,1
1017,2,1,1,2,1
1017,2,1,1,3,1
1017,3,3,2,4,2
1017,1,1,1,1,1
1017,3,3,2,3,3
1017,3,2,2,3,2
1017,3,1,1,2,1
1017,3,1,2,2,2
1017,3,2,2,3,2
1017,2,2,2,3,2
1017,3,2,2,3,3
1017,3,3,3,3,2
1017,2,2,2,3,4
1017,3,1,2,3,2
1017,3,2,3,4,2
1017,2,2,2,2,2
1017,2,1,2,1,1
1017,2,1,3,1,1
1017,2,1,1,3,3
1017,1,1,3,2,1
1017,3,2,2,2,1
1017,3,2,3,3,1
1017,2,2,1,3,2
1017,1,1,1,2,1
1017,2,2,1,2,1
1017,2,2,3,2,1
1017,3,2,2,2,1
1017,2,2,1,2,1
1018,2,2,2,3,1
1018,1,2,3,3,2
1018,1,4,3,3,1
1018,1,1,2,2,1
1018,1,1,2,2,1
1018,1,1,1,1,1
1018,1,1,1,2,1
1018,1,2,2,2,1
1020,2,1,2,3,2
1020,2,1,1,3,2
1020,4,2,2,3,2
1020,4,1,1,4,4
1020,3,1,1,3,3
1020,2,1,1,3,3
1020,3,1,1,3,3
1020,4,2,2,1,3
1020,3,1,1,3,3
1026,1,4,3,2,3
1026,1,2,1,3,1
1026,2,1,2,3,2
1026,1,1,2,4,2
1026,1,1,1,1,1
1026,2,1,1,1,1
1026,2,3,3,2,1
1026,2,1,1,1,1
1026,1,2,2,1,1
1026,2,1,2,2,1
1026,2,1,1,1,1
1026,1,2,3,2,1
1026,1,1,2,3,1
1026,1,3,3,2,1
1026,1,3,4,1,1
1026,1,1,3,2,1
1026,1,1,1,1,1
1026,2,4,4,2,1
1026,1,5,4,2,1
1026,1,2,3,2,1
1026,2,2,3,2,2
1026,1,4,3,1,1
1026,1,4,3,1,1
1026,1,1,1,1,1
1026,1,1,2,1,1
1026,1,1,1,1,1
1026,1,3,3,1,1
1026,1,4,4,1,1
1026,1,4,3,1,1
1026,1,2,2,1,1
1026,1,2,2,1,1
1026,1,1,1,1,1
1026,1,2,3,1,1
1026,1,3,3,3,1
1026,1,1,2,1,1
1030,2,3,3,3,3
1030,4,3,1,4,1
1030,1,1,1,2,1
1030,1,1,1,1,1
1030,1,1,1,1,1
1030,1,1,1,1,1
1030,1,1,1,1,2
1030,1,1,1,1,1
1030,1,1,1,1,1
1030,1,1,1,1,1
1030,1,1,1,1,1
1032,5,2,2,4,4
1032,2,1,1,2,1
1032,4,2,3,2,2
1032,3,2,1,4,2
1032,2,1,1,1,1
1032,3,1,1,1,5
1032,1,1,1,1,1
1033,2,1,4,3,1
1033,3,1,3,4,3
1033,1,1,1,4,2
1033,3,1,2,4,3
1033,4,3,2,4,3
1033,2,1,3,4,3
1037,3,1,1,3,1
1037,1,2,3,3,1
1037,3,3,4,4,1
1037,2,3,3,3,1
1037,4,3,3,4,3
1037,3,4,3,4,3
1037,4,4,4,4,3
1037,2,3,3,3,1
1037,4,4,4,4,1
1037,3,4,4,4,1
1037,3,2,2,3,1
1037,4,4,4,4,3
1037,4,3,3,3,3
1037,3,3,3,2,1
1037,4,4,5,4,1
1037,3,3,3,3,3
1037,3,3,3,3,2
1037,3,3,4,4,3
1037,3,3,3,3,3
1037,4,4,4,4,3
1037,3,3,3,3,3
1038,2,3,3,4,3
1038,2,1,2,3,1
1038,1,1,2,1,1
1038,4,4,4,4,3
1038,3,4,4,4,3
1038,3,4,3,4,3
1038,3,3,3,4,3
1038,3,3,3,4,3
1039,2,1,1,3,2
1039,1,1,1,1,1
1039,2,3,3,3,2
1039,1,1,2,1,1
1040,2,4,1,3,2
1040,4,1,2,1,3
1040,2,1,1,3,1
1040,2,1,1,3,2
1040,1,1,5,1,1
1040,3,1,1,4,3
1040,1,1,1,1,1
1040,3,1,1,1,1
1044,1,1,2,2,2
1044,1,1,2,2,2
1044,1,1,1,1,1
1044,1,1,1,1,1
1044,1,2,3,3,3
1044,1,2,2,3,3
1044,1,1,1,1,1
1044,1,1,1,1,1
1044,1,1,1,1,1
1047,2,2,4,4,3
1047,2,2,3,3,2
1047,2,4,1,3,3
1047,1,2,4,2,1
1047,1,2,3,2,1
1047,2,3,4,3,2
1047,1,3,3,3,1
1049,2,3,4,3,1
1049,3,3,4,4,4
1049,1,1,3,3,1
1049,1,1,3,1,1
1049,2,1,3,4,3
1049,2,1,1,4,1
1049,1,1,3,3,1
1049,3,1,2,3,1
1049,4,1,3,4,4
1049,2,2,3,4,2
1049,4,3,4,3,4
1049,1,1,3,2,1
1049,2,3,3,3,1
1049,1,3,3,3,1
1049,3,2,3,2,1
1049,1,2,3,2,1
1049,3,2,3,4,3
1049,2,1,3,2,1
1049,4,2,3,5,3
1051,3,2,2,3,1
1051,3,1,1,3,4
1051,1,2,1,4,2
1051,1,1,1,1,1
1051,4,3,3,4,4
1051,3,3,1,3,1
1051,1,3,3,3,1
1051,3,4,3,2,1
1051,3,4,2,3,1
1051,1,3,1,1,1
1051,3,3,3,3,3
1051,2,3,1,3,1
1051,2,1,1,3,1
1051,2,1,1,1,1
1051,3,4,1,3,3
1051,1,3,1,4,2
1053,3,2,4,4,5
1053,3,2,4,4,5
1053,5,5,3,4,4
1053,4,4,5,4,3
1053,2,3,4,4,3
1053,2,3,4,3,4
1053,3,1,4,3,3
1053,3,4,4,3,4
1053,2,1,3,3,1
1053,2,1,2,2,1
1053,3,2,3,2,3
1053,2,2,4,2,1
1053,1,1,2,1,1
1053,2,1,3,2,2
1053,3,3,3,1,3
1053,2,1,3,2,2
1053,3,2,3,2,1
1053,1,1,2,2,1
1053,3,1,3,2,4
1054,2,3,3,3,3
1054,2,1,3,4,4
1054,2,3,3,4,4
1054,4,3,3,5,4
1054,4,3,3,4,4
1054,3,4,4,4,4
1054,3,5,5,5,4
1054,3,3,3,4,3
1054,4,3,4,4,4
1054,4,4,4,4,4
1054,3,3,3,3,3
1054,3,4,4,4,4
1054,4,5,5,4,4
1054,4,4,4,4,4
1054,3,4,4,3,3
1054,3,3,3,3,3
1054,3,4,4,4,4
1054,3,3,3,3,3
1055,1,1,2,3,1
1055,1,3,3,3,2
1055,1,2,3,3,1
1055,1,1,2,2,1
1055,2,2,2,3,1
1055,1,2,2,2,1
1055,1,1,2,2,1
1055,1,2,2,1,1
1055,1,2,2,1,1
1055,1,1,2,3,1
1055,1,4,3,3,1
1055,1,1,2,5,1
1055,1,1,1,3,1
1055,2,1,2,2,1
1055,1,1,2,2,1
1055,2,2,3,3,1
1055,1,1,1,2,1
1055,1,2,2,3,1
1055,1,2,3,3,1
1055,2,3,3,4,1
1055,1,3,3,3,1
1055,1,2,2,2,1
1055,1,2,3,3,1
1055,1,2,2,2,1
1055,1,2,2,2,1
1055,1,1,2,2,1
1055,1,1,2,2,1
1055,1,1,2,2,1
1055,2,3,3,3,1
1055,2,2,2,3,2
1055,1,1,2,4,1
1056,3,3,3,3,3
1056,5,5,5,5,5
1056,4,4,4,5,5
1056,3,1,3,3,3
1056,1,1,3,3,3
1057,2,2,2,3,3
1057,1,1,2,2,2
1057,1,3,3,2,2
1057,1,1,2,2,1
1057,2,1,2,3,3
1057,1,1,2,3,2
1057,3,1,1,4,3
1057,1,1,1,3,2
1057,2,1,1,3,2
1057,1,1,1,2,2
1057,2,2,3,3,3
1057,2,1,3,2,1
1058,3,3,4,4,3
1058,1,4,3,3,3
1058,2,1,2,4,1
1058,2,2,2,1,2
1058,2,3,2,3,3
1058,2,3,2,3,2
1058,2,2,3,3,2
1058,2,2,2,2,1
1058,1,2,2,1,1
1058,2,2,2,2,2
1058,2,3,2,2,2
1058,2,3,3,4,2
1058,4,3,2,2,1
1058,2,2,2,2,3
1058,2,2,2,4,2
1058,2,2,2,3,2
1058,2,2,2,3,2
1058,1,2,2,3,2
1058,3,2,1,3,3
1058,3,3,1,2,1
1058,3,3,1,3,2
1058,3,3,2,3,2
1059,5,3,1,5,5
1059,2,1,1,4,3
1059,5,3,1,5,4
1059,5,2,1,4,3
1059,4,2,3,3,2
1059,3,1,3,4,2
1059,4,2,2,4,4
1059,3,1,3,4,3
1059,4,1,3,4,4
1059,3,1,2,3,1
1059,4,3,2,4,3
1059,3,1,1,4,2
1059,2,1,2,3,1
1059,3,1,1,4,1
1059,2,1,3,4,1
1059,4,1,3,3,1
1059,2,2,3,5,3
1059,4,1,3,4,2
1059,2,1,3,4,4
1059,4,2,3,5,4
1059,2,2,3,5,4
1059,4,1,2,4,1
1059,2,1,3,3,1
1059,2,2,3,4,2
1059,3,3,3,4,2
1059,3,1,3,4,2
1059,3,1,2,4,3
1059,2,1,1,3,1
1060,2,1,2,3,2
1060,2,1,1,3,3
1060,3,2,3,3,3
1060,1,3,4,3,2
1060,4,3,3,4,3
1060,1,1,3,2,1
1060,3,1,2,4,1
1060,2,2,3,4,2
1060,2,3,3,2,3
1060,2,1,1,4,3
1060,1,1,1,2,1
1060,2,2,2,3,1
1060,2,1,2,3,2
1060,2,1,2,4,3
1060,2,2,2,3,3
1060,2,1,1,1,1
1060,2,1,2,3,1
1060,3,1,2,3,3
1062,2,1,3,4,2
1062,1,2,3,4,2
1062,2,1,3,3,2
1062,1,2,2,3,1
1062,1,2,3,3,3
1062,2,3,3,3,2
1062,2,1,3,3,1
1062,2,2,2,3,2
1062,2,2,3,3,2
1062,2,2,3,3,1
1063,1,2,3,3,2
1063,2,1,1,1,1
1063,3,3,3,2,2
1063,1,1,1,1,1
1063,1,1,1,1,1
1063,5,1,1,5,5
1063,1,1,1,1,1
1063,1,1,1,1,1
1063,1,1,1,1,1
1063,1,2,1,2,1
1063,1,1,1,1,1
1063,1,1,1,1,1
1064,1,3,4,3,1
1064,2,2,3,2,1
1064,1,2,3,1,2
1064,2,1,3,3,1
1064,1,2,1,1,1
1064,2,3,4,2,2
1064,2,3,4,2,1
1064,1,2,3,3,2
1064,2,1,2,2,1
1064,1,4,4,2,1
1064,1,3,4,2,2
1064,2,2,2,3,3
1064,2,2,3,2,3
1064,1,2,2,2,1
1064,1,3,3,2,2
1064,2,2,2,2,1
1064,1,3,3,2,1
1064,1,3,3,2,2
1064,2,3,3,3,1
1064,1,3,3,2,1
